Assigned to;Repository Name;Image URL;Architecture Scope;Architectural Notation;Architectural Styles;Concern;Behavior;QAs;Granularity;Components Nature;Connectors Nature;Shapes;Colored?;Connectors Direction;Legend?;Nested Components?;Explicit Ports/Interfaces?;Explicit Connectors?;Design Overlays;Technologies;Notes
Anonymous;ingeniala/heybluekata;https://github.com/ingeniala/heybluekata/blob/main/Assets/1.3.Architecture%20Characteristics.png;part;boxes_and_arrows;NA;general;static;security, maintainability, flexibility, performance_efficiency, interaction_capability;medium;quality-attributes;dependencies;rectangles;y;uni, no;n;y;n;y;n;NA;quality attributes
Anonymous;FPriv/factom-harmony-connect-python-sdk;https://github.com/FPriv/factom-harmony-connect-python-sdk/blob/master/documentation/pictures/architecture.jpg;entire;boxes_and_arrows;client-server;general;static;maintainability;medium;packages, classes, APIs, sub-systems;dependencies;rectangles;y;bi;n;y;n;y;n;NA;
Anonymous;ibm-hyperknowledge/hklib;https://github.com/ibm-hyperknowledge/hklib/blob/main/docs/images/Architecture.jpg;part;boxes_and_arrows;NA;general;static;maintainability;high;DBs, clients, packages;dependencies;rectangles;y;uni;n;n;n;y;n;NA;
Anonymous;heli-os/member-invitation-java-springboot;https://github.com/heli-os/member-invitation-java-springboot/blob/main/docs/overall-architecture.png;entire;boxes_and_arrows;rest, MVC;general;static;maintainability;medium;packages, DBs, services;dependencies;rectangles, squares;n;uni;n;y;n;y;n;aws, redis;
Anonymous;itays123/partydeck;https://github.com/itays123/partydeck/blob/main/architecture.png;entire;boxes_and_arrows;microservices, layered;general;static;maintainability;high;DBs, services, clients;dependencies;rectangles, squares;y;uni;n;y;n;y;n;mongodb;
Anonymous;kaleidot725/Draft;https://github.com/kaleidot725/Draft/blob/develop/docs/architecture.png;entire;boxes_and_arrows;MVI, layered;general;static, dynamic;maintainability;high;DBs, sub-systems;control_flow, data_flow;rectangles, icons;y;uni;n;y;n;y;n;NA;
Anonymous;florianhoehn/sf-apex-rest-api;https://github.com/florianhoehn/sf-apex-rest-api/blob/master/architecture.png;part;boxes_and_arrows;rest;general;static, dynamic;maintainability;low;classes;inheritance;rectangles;y;no;y;n;n;y;text;NA;manual sketch
Anonymous;tamu-datathon-org/galaxy;https://github.com/tamu-datathon-org/galaxy/blob/master/architecture.png;entire+;boxes_and_arrows;event-driven;general;static, dynamic;maintainability;high;sub-systems, DBs;communication;rectangles, circles;n;uni;n;n;n;y;n;postgresql, mongodb;
Anonymous;TestHaters/ctflow;https://github.com/TestHaters/ctflow/blob/master/dnd-ui/assets/architect.png;entire+;boxes_and_arrows;client-server;general;dynamic;functional_suitability;high;sub-systems, technologies;control_flow;icons;y;uni;n;n;n;y;snapshots;cypress.io;
Anonymous;Fenkey/irma;https://github.com/Fenkey/irma/blob/master/images/irmacall-architecture.png;entire;boxes_and_arrows;NA;general;static;maintainability;high;sub-systems;communication;rectangles;n;bi;n;n;n;y;n;NA;
Anonymous;Elkinmt19/feature-hero-ml;https://github.com/Elkinmt19/feature-hero-ml/blob/main/assets/imgs/feature-store-architecture.drawio.png;entire;boxes_and_arrows;event-driven;general;dynamic;functional_suitability, maintainability;high;DBs, servers, packages;data_flow;rectangles, cylinders, icons;y;uni;n;n;n;y;n;apache, kinesis, aws, snowflake, bigquery, redshift, synapse, google;
Anonymous;swir-rs/swir;https://github.com/swir-rs/swir/blob/master/graphics/swir_architecture.png;entire+;boxes_and_arrows;SOA, event-driven;general;static;maintainability;high;technologies, DBs, sub-systems;communication, dependencies;rectangles;y;bi;n;y;n;y;n;redis, aws, apache, prometheus, nats, jaeger, swir;
Anonymous;orchsym/runtime;https://github.com/orchsym/runtime/blob/master/nifi-nar-bundles/nifi-atlas-bundle/nifi-atlas-reporting-task/src/test/java/org/apache/nifi/atlas/emulator/architecture.svg;entire;boxes_and_arrows;event-driven;general;static;maintainability;high;sub-systems, DBs;communication, control_flow;rectangles, cylinders;y;uni;n;y;n;y;n;apache;Even when colors are used, the meaning of the colors is not explicit
Anonymous;hex-js/nodejs-hexagonal-boilerplate-ts;https://github.com/hex-js/nodejs-hexagonal-boilerplate-ts/blob/master/hexagonal-architecture.png;entire+;boxes_and_arrows;clean, hexagonal;general;static;maintainability;high;sub-systems, layers;dependencies, communication;rectangles;n;uni;n;n;y;y;n;NA;
Anonymous;ZID-Automat/Controller-ZIDAutomat;https://github.com/ZID-Automat/Controller-ZIDAutomat/blob/main/Readme/Architectue.png;entire;boxes_and_arrows;NA;general;static;maintainability;high;sub-systems, APIs;NA;rectangles, ellipses;n;no;n;n;n;y;n;NA;
Anonymous;nforge/devnote;https://github.com/nforge/devnote/blob/master/doc/devnote_architecture.png;entire;boxes_and_arrows;NA;general;static;maintainability;medium;packages, sub-systems, technologies;communication;rectangles;y;uni;n;y;n;y;n;javascript;
Anonymous;cap-ntu/Video-to-Retail-Platform;https://github.com/cap-ntu/Video-to-Retail-Platform/blob/hysia_v2/server/static/media/server-system-architecture.jpg;entire;boxes_and_arrows;client-server;general;static;maintainability;high;sub-systems, servers, clients;NA;rectangles;n;uni;n;n;n;y;n;NA;Connections, even if bidirectional, are shown as two unidirectional
Anonymous;lubkoKuzenko/FE-Interview-Questions;https://github.com/lubkoKuzenko/FE-Interview-Questions/blob/main/Angular/images/architecture.png;part;boxes_and_arrows;NA;general;static;maintainability;medium;packages;dependencies;rectangles;y;uni;n;y;n;y;n;angular;manual sketch
Anonymous;pgrignaffini/AlgoCrowd;https://github.com/pgrignaffini/AlgoCrowd/blob/main/img/architecture_b.jpg;entire+;boxes_and_arrows;client-server;general;static;maintainability;high;clients, servers, DBs;communication;rectangles;n;uni;n;y;n;y;n;blockchain;
Anonymous;rinkako/CStoreDBMS;https://github.com/Rinkako/CStoreDB/blob/master/Pictures/ProjectArchitecture.png;entire;boxes_and_arrows;NA;general;static;maintainability;medium;classes, layers, DBs;inheritance, dependencies;rectangles;y;uni;n;y;n;y;n;NA;
Anonymous;conduitframework/conduit_amqp;https://hexdocs.pm/conduit_amqp/assets/architecture.png;part;boxes_and_arrows;publish-subscribe;general;static;maintainability;medium;classes;inheritance;rectangles;n;no;n;n;n;y;n;NA;
Anonymous;FudanOCR/FudanOCR;https://github.com/FudanOCR/FudanOCR/blob/master/images/architecture.jpeg;entire;boxes_and_arrows;NA;general;static;maintainability;high;packages;dependencies;rectangles;y;bi;n;n;n;y;n;NA;
Anonymous;securesecrets/shadeswap;https://github.com/securesecrets/shadeswap/blob/main/docs/Images/SC_Initialize_Architecture.png;part;boxes_and_arrows;smart-contracts;general;static;maintainability;high;technologies, packages, classes;inheritance;rectangles;n;uni;n;n;n;y;n;NA;blockchain
Anonymous;little-hands/webdbpress-2019-10-ddd;https://github.com/little-hands/webdbpress-2019-10-ddd/blob/master/image/architecture.png;entire;boxes_and_arrows;layered;general;static;maintainability;high;layers, sub-systems;dependencies;rectangles;n;uni;n;n;n;y;n;NA;
Anonymous;Legmo/hotquotes;http://legmo.ru/GitHub/Architecture-small.jpg;entire;boxes_and_arrows;layered;general;static;maintainability;low;layers, classes;inheritance, dependencies;rectangles;n;uni;n;y;n;y;n;redux;
Anonymous;elloza/Android-Developer-Certification;https://github.com/elloza/Android-Developer-Certification/blob/master/images/Architecture%20Diagram.png;entire;boxes_and_arrows;MVC;general;static;maintainability;medium;features, functions, DBs, layers;dependencies;rectangles;y;bi;n;y;n;y;text;NA;
Anonymous;linhao1998/ChatGPTClient;https://github.com/linhao1998/ChatGPTClient/blob/master/images/chatgpt_architecture.png;part;boxes_and_arrows;MVVM;general;static;maintainability;medium;packages, layers, DBs;dependencies, data_flow;rectangles;y;uni;n;n;n;y;n;sqlite, openai;
Anonymous;zeropaper/visual-fiha;https://github.com/zeropaper/visual-fiha/blob/main/architecture.drawio.png;entire+;boxes_and_arrows;layered;general;static;maintainability;medium;layers, clients;data_flow;rectangles;n;bi;n;y;y;y;n;vscode;
Anonymous;jquku/Matrix-Chatbot;https://github.com/jquku/Matrix-Chatbot/blob/master/architecture.png;entire+;boxes_and_arrows;event-driven;general;dynamic;functional_suitability, maintainability;medium;DBs, packages, data;data_flow;rectangles, circles;n;bi;n;n;n;y;n;NA;
Anonymous;afonsocastro/larcc_interface;https://github.com/afonsocastro/larcc_interface/blob/master/ur_robot_driver/doc/architecture_coarse.svg;part;boxes_and_arrows;NA;general;static;maintainability;low;sub-systems, packages, functions, hardware_components;communication;rectangles;y;bi;n;y;n;y;n;ros;ros
Anonymous;ankithans/codeX;https://github.com/ankithans/codeX/blob/main/mockups/codex_architecture.png;part;boxes_and_arrows;NA;general;static;functional_suitability, maintainability, compatibility;high;functions;dependencies, composition;rectangles;y;uni;n;n;n;y;n;NA;
Anonymous;c0deLab/ReAC;https://github.com/c0deLab/ReAC/blob/master/media/rscc/architecture.png;part;boxes_and_arrows;NA;general;dynamic;functional_suitability;low;functions, hardware_components, layers, packages, data;control_flow;rectangles;y;no;n;y;n;y;n;ros;iot, ros
Anonymous;mbotarro/unijobs;https://github.com/mbotarro/unijobs/blob/master/backend/docs/images/backend_architecture.png;entire;boxes_and_arrows;layered, MVC;general;static;maintainability;medium;layers, classes, DBs, servers;dependencies, API_calls;rectangles;n;uni;n;y;n;y;n;postgresql, elasticsearch;
Anonymous;bosh-prometheus/bosh_exporter;https://cdn.rawgit.com/bosh-prometheus/bosh_exporter/master/architecture/architecture.svg;part;boxes_and_arrows;SOA;general;static;maintainability;medium;servers, services, sub-systems, packages;API_calls, function_calls;rectangles, icons;y;uni;n;y;n;y;n;prometheus, bosh;
Anonymous;gustavung/Graphrec;https://github.com/gustavung/Graphrec/blob/master/architecture.png;entire;boxes_and_arrows;client-server;general;static;maintainability;high;clients, servers, packages;data_flow;rectangles;n;uni, bi;n;n;n;y;n;flask;
Anonymous;AmnisIO/AmnisIO;https://github.com/AmnisIO/AmnisIO/blob/master/amnisio-architecture.png;entire;boxes_and_arrows;NA;general;static;maintainability;high;clients, technologies;dependencies;rectangles;y;uni;n;y;y;y;n;typescript, c, pio;
Anonymous;sugarlabs/musicblocks-v4-lib;https://github.com/sugarlabs/musicblocks-v4-lib/blob/develop/docs/images/architecture.jpg;part;boxes_and_arrows;NA;general;static;maintainability;low;packages, classes;function_calls, dependencies;rectangles;y;uni;n;n;n;y;n;NA;
Anonymous;onprem/foundry;https://github.com/onprem/foundry/blob/main/docs/images/foundry-architecture.png;part;boxes_and_arrows;NA;general;static;maintainability;high;sub-systems;dependencies;rectangles, squares;n;uni;n;y;n;y;n;aws, google;
Anonymous;NatalieLouise91/T3A2-Skemi-FrontEnd;https://github.com/NatalieLouise91/T3A2-Skemi-FrontEnd/blob/main/docs/architecture-diagram/app-architecture-diagram.png;entire;boxes_and_arrows;client-server, MVC;general;static;maintainability;medium;steps, sub-systems;data_flow;rectangles;y;uni;n;y;n;y;n;netlify, heroku;
Anonymous;kerollesroshdi/Cima-;https://github.com/kerollesroshdi/Cima-/blob/main/images/iOS-App-Architecture.png;entire;boxes_and_arrows;MVVM;general;static;maintainability;medium;packages;data_flow;rectangles;n;uni;n;n;n;y;n;NA;
Anonymous;takoko55/LectureLens;https://github.com/takoko55/LectureLens/blob/main/lecture-lens-backend/architecture.png;entire;boxes_and_arrows;clean;general;static;maintainability;high;DBs, packages;dependencies, control_flow;rectangles;y;uni;y;y;n;y;n;NA;
Anonymous;googleinterns/typescript-flag-upgrade;https://github.com/googleinterns/typescript-flag-upgrade/blob/master/docs/architecture.png;entire;boxes_and_arrows;NA;general;static;maintainability;high;packages;NA;circles;n;bi;n;n;n;y;n;NA;
Anonymous;Resurgence-VM-Development/Resurgence;https://github.com/Resurgence-VM-Development/Resurgence/blob/main/images/architecture.png;entire;boxes_and_arrows;NA;general;static;maintainability;medium;sub-systems, packages;dependencies;rectangles;y;bi;n;y;n;y;n;NA;
Anonymous;SV-97/HumanResourceMachine;https://github.com/SV-97/HumanResourceMachine/blob/master/architecture.png;part;boxes_and_arrows;NA;general;static;maintainability;medium;sub-systems;control_flow;ellipses;n;uni;n;n;n;y;n;NA;
Anonymous;gabrielfarah/OpenHub;https://github.com/gabrielfarah/OpenHub/blob/master/docs/images/OpenHub_Architecture.png;entire;boxes_and_arrows;NA;general;static, dynamic;maintainability;medium;packages, DBs;control_flow;rectangles, icons, cylinders;y;uni;n;n;n;y;n;rabbitmq, python, javascript, php, github;
Anonymous;elpapi42/deep-deblurring;https://github.com/ElPapi42/deep-deblurring/blob/master/system_architecture.png;entire+;boxes_and_arrows;client-server;general;static;maintainability;high;sub-systems;communication;rectangles, 3d;y;uni;n;n;n;y;n;google;
Anonymous;Connor1996/Pokemon;https://github.com/Connor1996/Pokemon/blob/master/doc/architecture.png;entire;boxes_and_arrows;client-server;general;static;maintainability;low;classes;dependencies;rectangles;n;no;n;n;n;y;n;NA;
Anonymous;bluekiri/mlab;https://github.com/bluekiri/mlab/blob/master/var/asserts/Mlab-Architecture.png;entire;boxes_and_arrows;layered, SOA;general;static;maintainability;high;DBs, clients, servers, sub-systems;communication;rectangles, icons;y;uni;n;n;n;y;n;mongodb;
Anonymous;codestates/BEB-05-LeeSea;https://github.com/codestates/BEB-05-LeeSea/blob/main/imgs/architecture.jpg;entire;boxes_and_arrows;NA;general;static;maintainability;high;layers, sub-systems, packages, classes;communication;rectangles;n;uni;n;n;n;y;n;NA;
Anonymous;DecenterApps/ResistanceProtocol;https://github.com/DecenterApps/ResistanceProtocol/blob/main/simulations/documentation_images/architecture.png;entire;boxes_and_arrows;NA;general;static;maintainability;medium;packages, layers;dependencies;rectangles;y;uni;n;y;n;y;n;NA;Even if different colours are used, they have little to no semantic meaning (e.g., ofte they depict just all elements belonging to the same layer, which is already represented by grouping elements of the same layer in a box)
Anonymous;llvm/torch-mlir;https://github.com/llvm/torch-mlir/blob/main/docs/images/readme_architecture_diagram.png;entire;boxes_and_arrows;layered;general;static, dynamic;maintainability;medium;technologies, layers;communication;rectangles;n;uni;n;y;n;y;n;pytorch, mlir;
